item_name,qty_sold(kg)
Xiaoqingcai (2),1.0
Xiaoqingcai (2),1.0
Spinach (Bag),1.0
Niushou Shengcai,0.436
Naibaicai,0.541
Spinach,0.554
Net Lotus Root (1),0.604
Xixia Mushroom (1),0.326
Net Lotus Root (1),0.654
Luosi Pepper,0.221
Haixian Mushroom (Bag) (4),1.0
Xixia Mushroom (1),0.151
Niushou Youcai,0.541
Wuhu Green Pepper (1),0.138
Millet Pepper (Bag),1.0
Garden Chrysanthemum,0.707
Niushou Youcai,0.541
Net Lotus Root (1),0.386
Broccoli,0.424
Luosi Pepper,0.161
Xixia Mushroom (1),0.293
Ping Mushroom,0.417
Wuhu Green Pepper (1),0.264
Net Lotus Root (1),0.453
Zhuyecai,0.341
Shanghaiqing,0.383
Wuhu Green Pepper (1),0.49
Niushou Shengcai,0.654
Broccoli,0.714
Shanghaiqing,0.746
Eggplant (2),0.251
Luosi Pepper,0.372
Eggplant (2),0.361
Zhijiang Red Bolt,0.417
Ping Mushroom,0.302
Spinach,0.47
Net Lotus Root (1),1.141
Wuhu Green Pepper (1),0.289
Wuhu Green Pepper (1),0.314
Xixia Mushroom (1),0.226
Red Hang Pepper,0.199
Niushou Shengcai,0.386
Wuhu Green Pepper (1),0.402
Xixia Mushroom (1),0.418
Xixia Mushroom (1),0.301
Garden Chrysanthemum,0.303
Garden Chrysanthemum,0.404
Wuhu Green Pepper (1),0.264
Luosi Pepper,0.291
Xixia Mushroom (1),0.309
Yunnan Lettuces,0.489
Net Lotus Root (1),0.336
Garden Chrysanthemum,0.328
Spinach,0.269
Yunnan Leaf Lettuce (Bag),1.0
Net Lotus Root (1),0.403
Zhijiang Red Bolt,0.685
Ping Mushroom,0.661
Xixia Mushroom (1),0.443
Spinach,0.503
Xixia Mushroom (1),0.401
Xixia Mushroom (1),0.318
Wuhu Green Pepper (1),0.817
Green Line Pepper,0.229
Wuhu Green Pepper (1),0.264
Shanghai Green (Bag),1.0
Naibaicai,0.27
Dongmenkou Xiaobaicai,0.278
Yunnan Leaf Lettuce (Bag),1.0
Ping Mushroom,0.388
Ping Mushroom,-0.388
Xixia Mushroom (1),0.368
Ping Mushroom,0.388
Net Lotus Root (1),1.175
Garden Chrysanthemum,0.354
Xixia Mushroom (1),0.309
Wuhu Green Pepper (1),0.377
Xixia Mushroom (1),0.318
Niushou Shengcai,0.621
Xixia Mushroom (1),0.326
Net Lotus Root (1),0.453
Xixia Mushroom (1),0.234
Zhuyecai,0.402
Broccoli,0.502
Xixia Mushroom (1),0.259
Niushou Shengcai,0.42
Net Lotus Root (1),0.42
Xixia Mushroom (1),0.293
Red Pepper (1),0.15
Xixia Mushroom (1),0.351
Broccoli,0.569
Lameizi,0.056
Red Hang Pepper,0.063
Garden Chrysanthemum,0.53
Xixia Mushroom (1),0.251
Shanghaiqing,0.484
Zhijiang Red Bolt,0.417
Zhijiang Red Bolt,0.446
Green Line Pepper,0.272
Dongmenkou Xiaobaicai,0.581
Eggplant (2),0.472
Wuhu Green Pepper (1),0.402
Wuhu Green Pepper (1),0.402
Dongmenkou Xiaobaicai,0.429
Niushou Shengcai,0.369
Yunnan Lettuce (Bag),1.0
Wuhu Green Pepper (1),0.214
Ping Mushroom,0.517
Wuhu Green Pepper (1),0.251
Xixia Mushroom (1),0.736
Wuhu Green Pepper (1),0.616
Naibaicai,0.642
Yunnan Leaf Lettuce (Bag),1.0
Broccoli,1.138
Zhuyecai,0.331
Xixia Mushroom (1),0.276
Needle Mushroom (Bag) (2),1.0
Wuhu Green Pepper (1),0.716
Zhijiang Red Bolt,0.417
Wuhu Green Pepper (1),0.477
Eggplant (2),0.492
Net Lotus Root (1),1.309
Xixia Mushroom (1),0.301
Zhijiang Red Bolt,0.357
Net Lotus Root (1),0.604
Xixia Mushroom (1),0.293
Xiaoqingcai (2),1.0
Wuhu Green Pepper (1),0.327
Xixia Mushroom (1),0.477
Wuhu Green Pepper (1),0.377
Xixia Mushroom (1),0.276
Wuhu Green Pepper (1),0.515
Xixia Mushroom (1),0.226
Needle Mushroom (Bag) (2),1.0
Xixia Mushroom (1),0.184
Xiaoqingcai (2),1.0
Spinach,0.235
Garden Chrysanthemum,0.278
Needle Mushroom (Bag) (2),1.0
Broccoli,0.435
Green Line Pepper,0.093
Wuhu Green Pepper (1),0.44
Net Lotus Root (1),1.359
Net Lotus Root (1),0.436
Net Lotus Root (1),0.638
Wuhu Green Pepper (1),0.314
Xixia Mushroom (1),0.201
Broccoli,0.391
Zhijiang Red Bolt,0.417
Huangbaicai (2),0.56
Yunnan Lettuces,0.359
Garden Chrysanthemum,0.253
Zhijiang Red Bolt (Bag),1.0
Caixin,0.42
Needle Mushroom (Bag) (2),1.0
Niushou Shengcai,0.252
Xixia Mushroom (1),0.117
Ping Mushroom,0.187
Xixia Mushroom (1),0.159
Broccoli,0.759
Zhijiang Red Bolt,0.298
Luosi Pepper,0.351
Needle Mushroom (Bag) (2),1.0
Wuhu Green Pepper (1),0.314
Zhijiang Red Bolt,0.536
Wuhu Green Pepper (1),0.54
Wuhu Green Pepper (1),0.327
Red Hang Pepper,0.047
Green Line Pepper,0.1
Xixia Mushroom (1),0.385
Ping Mushroom,0.287
Broccoli,0.38
Luosi Pepper,0.181
Broccoli,0.402
Garden Chrysanthemum,0.278
Net Lotus Root (1),1.862
Eggplant (2),0.261
Changxianqie,0.373
Lameizi,0.37
Wuhu Green Pepper (1),0.389
Ping Mushroom,0.345
Green Line Pepper,0.107
Broccoli,0.938
Xixia Mushroom (1),0.209
Wuhu Green Pepper (1),0.151
Red Hang Pepper,0.117
Broccoli,0.926
Luosi Pepper,0.432
Green Line Pepper,0.115
Spinach (Bag),1.0
Xixia Mushroom (1),0.184
Xixia Mushroom (1),0.151
Ping Mushroom,0.187
Wuhu Green Pepper (1),0.427
Xixia Mushroom (1),0.51
Wuhu Green Pepper (1),0.302
Ping Mushroom,0.46
Green Line Pepper,0.158
Net Lotus Root (1),0.789
Millet Pepper (Bag),1.0
Garden Chrysanthemum,0.253
Wuhu Green Pepper (1),0.515
Xixia Mushroom (1),0.36
Needle Mushroom (Bag) (2),1.0
Wuhu Green Pepper (1),0.364
Yunnan Leaf Lettuce (Bag),1.0
Zhuyecai,0.351
Green Line Pepper,0.351
Yunnan Lettuce (Bag),1.0
Xixia Mushroom (1),0.184
Needle Mushroom (Bag) (2),1.0
Eggplant (2),0.492
Luosi Pepper,0.281
Xixia Mushroom (1),0.393
Wuhu Green Pepper (1),0.402
Yunnan Lettuce (Bag),1.0
Spinach,0.302
Wuhu Green Pepper (1),0.188
Xixia Mushroom (1),0.234
Yunnan Lettuce (Bag),1.0
Niushou Shengcai,0.352
Wuhu Green Pepper (1),0.264
Zhijiang Red Bolt,0.417
Broccoli,0.592
Spinach (Bag),1.0
Xixia Mushroom (1),0.226
Niushou Youcai,0.304
Wuhu Green Pepper (1),0.314
Eggplant (2),0.713
Wuhu Green Pepper (1),0.553
Luosi Pepper,0.693
Zhijiang Red Bolt,0.417
Broccoli,0.246
Luosi Pepper,0.341
Red Pepper (1),0.175
Needle Mushroom (Bag) (2),1.0
Ping Mushroom,0.187
Huangbaicai (2),0.259
Shanghai Green (Bag),1.0
Wuhu Green Pepper (1),0.389
Xixia Mushroom (1),0.276
Yunnan Lettuce (Bag),1.0
Zhijiang Red Bolt,0.744
Green Line Pepper,0.365
Zhijiang Red Bolt,0.833
Lameizi,0.382
Xixia Mushroom (1),0.326
Dongmenkou Xiaobaicai,0.884
Wuhu Green Pepper (1),0.364
Xixia Mushroom (1),0.243
Broccoli,0.19
Wuhu Green Pepper (1),0.591
Xixia Mushroom (1),0.401
Garden Chrysanthemum,0.303
Yunnan Lettuce (Bag),1.0
Xixia Mushroom (1),0.259
Naibaicai,0.203
Spinach,0.319
Yunnan Lettuces,0.302
Xixia Mushroom (1),0.251
Xixia Mushroom (1),0.184
Wuhu Green Pepper (1),0.415
Broccoli,0.335
Ping Mushroom,0.187
Yunnan Lettuces,0.374
Garden Chrysanthemum,0.556
Luosi Pepper,0.311
Xixia Mushroom (1),0.36
Millet Pepper (Bag),1.0
Needle Mushroom (Bag) (2),1.0
Eggplant (2),0.321
Broccoli,0.647
Needle Mushroom (Bag) (2),1.0
Garden Chrysanthemum,0.227
Spinach,0.235
Luosi Pepper,0.311
Wuhu Green Pepper (1),0.314
Haixian Mushroom (Bag) (4),1.0
Green Hot Peppers,0.472
Broccoli,0.558
Xiaoqingcai (1),0.403
Green Hot Peppers,0.161
Xixia Mushroom (1),0.201
Luosi Pepper,0.271
Naibaicai,1.047
Broccoli,0.38
Shanghaiqing,0.544
Wuhu Green Pepper (1),0.402
Zhijiang Red Bolt,0.923
Broccoli,0.38
Xixia Mushroom (1),0.217
Xixia Mushroom (1),0.125
Huangbaicai (2),0.445
Lameizi,0.357
Broccoli,0.301
Wuhu Green Pepper (1),0.327
Xixia Mushroom (1),0.184
Yunnan Leaf Lettuce (Bag),1.0
Eggplant (2),0.472
Dongmenkou Xiaobaicai,0.278
Wuhu Green Pepper (1),0.377
Broccoli,0.335
Xixia Mushroom (1),0.167
Shanghai Green (Bag),1.0
Shanghai Green (Bag),1.0
Shanghai Green (Bag),1.0
Wuhu Green Pepper (1),0.452
Wuhu Green Pepper (1),0.352
Needle Mushroom (Bag) (2),1.0
Broccoli,0.502
Wuhu Green Pepper (1),0.477
Xixia Mushroom (1),0.184
Xixia Mushroom (1),0.301
Yunnan Lettuce (Bag),1.0
Yunnan Lettuce (Bag),1.0
Wuhu Green Pepper (1),0.302
Yunnan Lettuce (Bag),1.0
Lameizi,0.113
Wuhu Green Pepper (1),0.477
Spinach (Bag),1.0
Needle Mushroom (Bag) (2),1.0
Wuhu Green Pepper (1),0.653
Wuhu Green Pepper (1),0.264
Broccoli,0.402
Green Hot Peppers,0.412
Broccoli,0.804
Needle Mushroom (Bag) (2),1.0
Xixia Mushroom (1),0.217
Xixia Mushroom (1),0.376
Xixia Mushroom (1),0.326
Broccoli,1.685
Wuhu Green Pepper (1),0.176
Millet Pepper (Bag),1.0
Broccoli,0.469
Broccoli,0.368
Lameizi,0.232
Xixia Mushroom (1),0.569
Broccoli,0.636
Wuhu Green Pepper (1),0.779
Zhijiang Red Bolt (Bag),1.0
Caixin (Bag),1.0
Wuhu Green Pepper (1),0.477
Needle Mushroom (Bag) (2),1.0
Zhijiang Red Bolt (Bag),1.0
Needle Mushroom (Bag) (2),1.0
Caixin (Bag),1.0
Caixin (Bag),1.0
Eggplant (2),0.713
Green Line Pepper,0.373
Broccoli,0.714
Wuhu Green Pepper (1),0.452
Needle Mushroom (Bag) (2),1.0
Shanghai Green (Bag),1.0
Garden Chrysanthemum (Bag),1.0
Garden Chrysanthemum (Bag),1.0
Haixian Mushroom (Bag) (4),1.0
Needle Mushroom (Bag) (2),1.0
Xixia Mushroom (1),0.368
Caixin (Bag),1.0
Garden Chrysanthemum,0.556
Xixia Mushroom (1),0.236
Spinach,0.822
Niushou Youcai,0.71
Net Lotus Root (1),1.829
Zhijiang Red Bolt,0.455
Garden Chrysanthemum,0.556
Wuhu Green Pepper (1),0.565
Garden Chrysanthemum,0.303
Spinach,0.285
Xixia Mushroom (1),0.337
Net Lotus Root (1),0.453
Naibaicai,1.122
Yunnan Shengcai,0.302
Xixia Mushroom (1),0.236
Net Lotus Root (1),0.789
Wuhu Green Pepper (1),0.163
Net Lotus Root (1),0.587
Xixia Mushroom (1),0.401
Ping Mushroom,0.287
Garden Chrysanthemum,0.48
Yunnan Leaf Lettuce (Bag),1.0
Garden Chrysanthemum,0.53
Yunnan Shengcai,0.431
Zhijiang Red Bolt (Bag),1.0
Yunnan Shengcai,0.474
Xiaoqingcai (2),1.0
Spinach,0.604
Xixia Mushroom (1),0.501
Changxianqie,0.423
Niushou Shengcai,0.503
Spinach,0.285
Millet Pepper (Bag),1.0
Wuhu Green Pepper (1),0.302
Red Pepper (1),0.326
Garden Chrysanthemum,0.328
Wuhu Green Pepper (1),0.591
Luosi Pepper,0.412
Broccoli,0.335
Broccoli,0.536
Zhijiang Red Bolt,0.48
Net Lotus Root (1),0.621
Xixia Mushroom (1),0.136
Xixia Mushroom (1),0.279
Net Lotus Root (1),0.856
Xixia Mushroom (1),0.215
Net Lotus Root (1),0.453
Naibaicai,0.561
Net Lotus Root (1),0.94
Xixia Mushroom (1),0.358
Niushou Youcai,1.047
Zhijiang Red Bolt,0.505
Ping Mushroom,0.79
Yunnan Shengcai,0.546
Garden Chrysanthemum,0.631
Niushou Shengcai,0.42
Ping Mushroom,0.546
Xixia Mushroom (1),0.165
Garden Chrysanthemum,0.631
Niushou Youcai,1.182
Zhijiang Red Bolt,0.808
Spinach,0.235
Xixia Mushroom (1),0.179
Xixia Mushroom (1),0.337
Green Eggplant (1),0.592
Net Lotus Root (1),0.621
Wuhu Green Pepper (1),0.465
Xixia Mushroom (1),0.351
Wuhu Green Pepper (1),0.503
Green Line Pepper,0.437
Xixia Mushroom (1),0.229
Spinach,0.537
Wuhu Green Pepper (1),0.088
Broccoli,0.246
Wuhu Green Pepper (1),0.327
Xixia Mushroom (1),0.272
Ping Mushroom,0.503
Wuhu Green Pepper (1),0.138
Zhijiang Red Bolt (Bag),1.0
Net Lotus Root (1),0.269
Net Lotus Root (1),0.805
Ping Mushroom,0.79
Yunnan Lettuce (Bag),1.0
Ping Mushroom,0.345
Garden Chrysanthemum (Bag),1.0
Xixia Mushroom (1),0.43
Zhijiang Red Bolt,0.455
Ping Mushroom,0.345
Garden Chrysanthemum,0.278
Wuhu Green Pepper (1),0.452
Net Lotus Root (1),0.956
Spinach,0.302
Yunnan Shengcai,0.445
Eggplant (2),0.512
Green Line Pepper,0.322
Spinach,0.52
Naibaicai,0.459
Green Line Pepper,0.179
Spinach (Bag),1.0
Xixia Mushroom (1),0.179
Eggplant (2),0.392
Luosi Pepper,0.382
Ping Mushroom,0.331
Ping Mushroom,0.388
Ping Mushroom,0.934
Naibaicai,0.255
Xixia Mushroom (1),0.38
Spinach,0.269
Broccoli,0.402
Niushou Youcai,0.439
Wuhu Green Pepper (1),0.477
Zhijiang Red Bolt,0.455
Wuhu Green Pepper (1),0.327
Shanghaiqing,0.423
Xiaoqingcai (1),0.726
Spinach,0.621
Net Lotus Root (1),0.923
Xixia Mushroom (1),0.143
Broccoli,0.279
Wuhu Green Pepper (1),0.352
Shanghai Green (Bag),1.0
Garden Chrysanthemum,1.288
Wuhu Green Pepper (1),0.905
Net Lotus Root (1),1.46
Spinach,0.554
Niushou Shengcai,0.269
Eggplant (2),0.321
Broccoli,0.446
Net Lotus Root (1),0.218
Spinach (Bag),1.0
Net Lotus Root (1),0.235
Red Pepper (1),0.282
Needle Mushroom (Bag) (2),1.0
Xiaoqingcai (2),1.0
Xixia Mushroom (1),0.344
Garden Chrysanthemum (Bag),1.0
Garden Chrysanthemum (Bag),1.0
Yunnan Lettuce (Bag),1.0
Wuhu Green Pepper (1),0.402
Net Lotus Root (1),0.336
Xixia Mushroom (1),0.208
Net Lotus Root (1),0.956
Garden Chrysanthemum,0.783
Broccoli,0.368
Needle Mushroom (Bag) (2),1.0
Yunnan Shengcai,0.23
Needle Mushroom (Bag) (2),1.0
Ping Mushroom,0.733
Xixia Mushroom (1),0.33
Wuhu Green Pepper (1),0.188
Net Lotus Root (1),1.695
Red Pepper (1),0.082
Xixia Mushroom (1),0.201
Net Lotus Root (1),0.218
Niushou Youcai,0.676
Shanghaiqing,0.343
Net Lotus Root (1),0.42
Xiaoqingcai (2),1.0
Shanghaiqing,0.484
Net Lotus Root (1),0.956
Broccoli,0.357
Yunnan Leaf Lettuce (Bag),1.0
Net Lotus Root (1),1.074
Xixia Mushroom (1),0.337
Net Lotus Root (1),0.671
Niushou Youcai,0.946
Broccoli,0.737
Shanghai Green (Bag),1.0
Spinach,0.302
Yunnan Lettuces,0.316
Red Pepper (1),0.282
Wuhu Green Pepper (1),0.276
Zhuyecai,0.643
Wuhu Green Pepper (1),0.327
Xixia Mushroom (1),0.315
Changxianqie,0.494
Millet Pepper (Bag),1.0
Luosi Pepper,0.412
Spinach,0.302
Haixian Mushroom (Bag) (4),1.0
Net Lotus Root (1),0.671
Needle Mushroom (Bag) (2),1.0
Xixia Mushroom (1),0.172
Broccoli,0.301
Xixia Mushroom (1),0.215
Ping Mushroom,0.374
Xixia Mushroom (1),0.322
Yunnan Shengcai,0.546
Niushou Youcai,0.642
Wuhu Green Pepper (1),0.628
Zhijiang Red Bolt,0.455
Needle Mushroom (Bag) (2),1.0
Xixia Mushroom (1),0.158
Xiaoqingcai (2),1.0
Net Lotus Root (1),0.789
Xixia Mushroom (1),0.294
Eggplant (2),0.492
Xixia Mushroom (1),0.129
Net Lotus Root (1),0.755
Garden Chrysanthemum (Bag),1.0
Zhijiang Red Bolt,0.354
Spinach,0.302
Needle Mushroom (Bag) (2),1.0
Broccoli,0.391
Wuhu Green Pepper (1),0.314
Niushou Youcai,0.372
Spinach,0.587
Millet Pepper (Bag),1.0
Green Line Pepper,0.15
Red Pepper (1),0.201
Xixia Mushroom (1),0.365
Zhijiang Red Bolt,0.379
Spinach,0.386
Garden Chrysanthemum,0.278
Spinach,0.252
Wuhu Green Pepper (1),0.377
Net Lotus Root (1),0.319
Xixia Mushroom (1),0.401
Broccoli,0.424
Xixia Mushroom (1),0.616
Wuhu Green Pepper (1),0.402
Garden Chrysanthemum,0.631
Eggplant (2),0.894
Broccoli,0.792
Net Lotus Root (1),0.403
Needle Mushroom (Bag) (2),1.0
Yunnan Lettuce (Bag),1.0
Net Lotus Root (1),0.151
Niushou Youcai,0.304
Spinach (Bag),1.0
Red Pepper (1),0.113
Broccoli,0.413
Spinach,0.587
Garden Chrysanthemum,0.354
Needle Mushroom (Bag) (2),1.0
Niushou Youcai,0.574
Spinach,0.571
Water Chestnut,0.487
Net Lotus Root (1),0.503
Ping Mushroom,0.359
Net Lotus Root (1),0.503
Ping Mushroom,0.474
Shanghaiqing,0.323
Caixin (Bag),1.0
Yunnan Shengcai,0.23
Spinach,0.235
Garden Chrysanthemum,0.505
Net Lotus Root (1),0.621
Ping Mushroom,0.532
Wuhu Green Pepper (1),0.628
Eggplant (2),0.151
Niushou Youcai,0.27
Xixia Mushroom (1),0.236
Zhijiang Red Bolt (Bag),1.0
Broccoli,1.44
Garden Chrysanthemum,0.253
Niushou Youcai,0.169
Garden Chrysanthemum,0.303
Net Lotus Root (1),0.386
Broccoli,0.446
Wuhu Green Pepper (1),0.201
Yunnan Lettuces,0.374
Ping Mushroom,0.532
Green Hot Peppers,0.351
Wuhu Green Pepper (1),0.289
Wuhu Green Pepper (1),0.616
Xixia Mushroom (1),0.487
Zhijiang Red Bolt,0.455
Haixian Mushroom (Bag) (4),1.0
Xixia Mushroom (1),0.416
Zhijiang Red Bolt (Bag),1.0
Wuhu Green Pepper (1),0.44
Luosi Pepper,0.331
Shanghaiqing,0.464
Wuhu Green Pepper (1),0.352
Naibaicai,0.255
Dongmenkou Xiaobaicai,0.202
Net Lotus Root (1),0.889
Eggplant (2),0.452
Xixia Mushroom (1),0.443
Yunnan Shengcai,0.503
Xixia Mushroom (1),0.535
Ping Mushroom,0.46
Ping Mushroom,0.345
Niushou Youcai,0.203
Net Lotus Root (1),0.554
Zhijiang Red Bolt,0.48
Naibaicai,0.306
Naibaicai,0.306
Net Lotus Root (1),0.386
Yunnan Leaf Lettuce (Bag),1.0
Needle Mushroom (Bag) (2),1.0
Xixia Mushroom (1),0.142
Haixian Mushroom (Bag) (4),1.0
Xiaoqingcai (1),0.524
Green Hot Peppers,0.251
Xixia Mushroom (1),0.259
Broccoli,0.469
Haixian Mushroom (Bag) (4),1.0
Garden Chrysanthemum,0.556
Spinach,0.269
Needle Mushroom (Bag) (2),1.0
Niushou Shengcai,0.487
Xixia Mushroom (1),0.176
Niushou Youcai,0.574
Water Chestnut,0.923
Xixia Mushroom (1),0.334
Broccoli,0.368
Net Lotus Root (1),0.42
Net Lotus Root (1),0.688
Green Hot Peppers,0.402
Xiaoqingcai (2),1.0
Naibaicai,0.51
Luosi Pepper,0.331
Needle Mushroom (Bag) (2),1.0
Xixia Mushroom (1),0.318
Wuhu Green Pepper (1),0.251
Red Pepper (1),0.351
Xixia Mushroom (1),0.301
Luosi Pepper,0.462
Broccoli,0.368
Net Lotus Root (1),0.386
Xixia Mushroom (1),0.159
Xixia Mushroom (1),0.385
Needle Mushroom (Bag) (2),1.0
Xixia Mushroom (1),0.184
Wuhu Green Pepper (1),0.616
Xixia Mushroom (1),0.209
Niushou Shengcai,0.369
Haixian Mushroom (Bag) (4),1.0
Broccoli,0.335
Spinach,0.269
Xixia Mushroom (1),0.259
Niushou Shengcai,0.403
Millet Pepper (Bag),1.0
Broccoli,0.446
Wuhu Green Pepper (1),0.741
Xiaoqingcai (2),1.0
Water Chestnut,0.47
Xiaoqingcai (1),0.161
Xixia Mushroom (1),0.284
Xixia Mushroom (1),0.36
Wuhu Green Pepper (1),0.427
Net Lotus Root (1),0.503
Yunnan Shengcai,0.259
Xixia Mushroom (1),0.276
Broccoli,0.335
Spinach,0.52
Net Lotus Root (1),0.47
Spinach,0.621
Garden Chrysanthemum,0.53
Dongmenkou Xiaobaicai,0.48
Ping Mushroom,0.517
Naibaicai,0.255
Xixia Mushroom (1),0.201
Broccoli,1.339
Ping Mushroom,0.589
Spinach,0.252
Wuhu Green Pepper (1),0.427
Spinach,0.252
Yunnan Shengcai,0.503
Xixia Mushroom (1),0.167
Xixia Mushroom (1),0.368
Eggplant (2),0.763
Spinach,0.52
Net Lotus Root (1),0.873
Xixia Mushroom (1),0.125
Xixia Mushroom (1),0.334
Zhijiang Red Bolt,0.429
Garden Chrysanthemum,0.303
Yunnan Shengcai,0.23
Garden Chrysanthemum,0.606
Xixia Mushroom (1),0.97
Eggplant (2),0.311
Spinach,0.252
Eggplant (2),0.181
Xixia Mushroom (1),0.293
Yunnan Lettuces,0.359
Spinach,0.302
Niushou Shengcai,0.285
Net Lotus Root (1),1.007
Xiaoqingcai (1),0.363
Millet Pepper (Bag),1.0
Niushou Shengcai,0.336
Broccoli,0.391
Net Lotus Root (1),0.906
Haixian Mushroom (Bag) (4),1.0
Net Lotus Root (1),1.057
Red Pepper (1),0.201
Luosi Pepper,0.251
Wuhu Green Pepper (1),0.327
Xixia Mushroom (1),0.276
Xixia Mushroom (1),0.268
Spinach,0.218
Needle Mushroom (Bag) (2),1.0
Luosi Pepper,0.181
Xixia Mushroom (1),0.376
Net Lotus Root (1),1.376
Green Hot Peppers,0.763
Yunnan Shengcai,0.445
Needle Mushroom (Bag) (2),1.0
Spinach,0.319
Ping Mushroom,0.216
Xixia Mushroom (1),0.452
Yunnan Shengcai,0.259
Spinach,0.285
Shanghai Green (Bag),1.0
Shanghai Green (Bag),1.0
Shanghai Green (Bag),1.0
Broccoli,0.313
Xixia Mushroom (1),0.092
Lameizi,0.163
Net Lotus Root (1),0.571
Green Line Pepper,0.301
Xixia Mushroom (1),0.268
Net Lotus Root (1),0.906
Yunnan Shengcai,0.172
Net Lotus Root (1),0.352
Eggplant (2),0.361
Luosi Pepper,0.291
Wuhu Green Pepper (1),0.477
Wuhu Green Pepper (1),0.314
Spinach,0.269
Net Lotus Root (1),0.973
Broccoli,0.446
Niushou Youcai,0.439
Net Lotus Root (1),0.671
Yunnan Shengcai,0.374
Broccoli,0.38
Xixia Mushroom (1),0.711
Xixia Mushroom (1),0.443
Xixia Mushroom (1),0.36
Dongmenkou Xiaobaicai,0.631
Xixia Mushroom (1),0.56
Needle Mushroom (Bag) (2),1.0
Net Lotus Root (1),0.94
Xixia Mushroom (1),0.468
Broccoli,0.38
Xixia Mushroom (1),0.552
Net Lotus Root (1),0.805
Eggplant (2),0.351
Xixia Mushroom (1),0.167
Net Lotus Root (1),0.42
Xixia Mushroom (1),0.092
Broccoli,0.48
Niushou Shengcai,0.269
Xixia Mushroom (1),0.192
Net Lotus Root (1),0.789
Xixia Mushroom (1),0.544
Wuhu Green Pepper (1),0.289
Xixia Mushroom (1),0.084
Xiaoqingcai (1),0.686
Xixia Mushroom (1),0.276
Net Lotus Root (1),0.956
Broccoli,0.335
Luosi Pepper,0.522
Xixia Mushroom (1),0.217
Xixia Mushroom (1),0.61
Red Pepper (1),0.238
Net Lotus Root (1),0.99
Dongmenkou Xiaobaicai,0.455
Needle Mushroom (Bag) (2),1.0
Broccoli,0.346
Spinach,0.436
Yunnan Shengcai,0.532
Broccoli,0.391
Yunnan Shengcai,0.359
Net Lotus Root (1),0.822
Spinach,0.47
Ping Mushroom,0.23
Millet Pepper (Bag),1.0
Eggplant (2),0.492
Niushou Youcai,0.203
Wuhu Green Pepper (1),0.364
Niushou Shengcai,0.705
Xixia Mushroom (1),0.259
Haixian Mushroom (Bag) (4),1.0
Yunnan Shengcai,0.402
Xixia Mushroom (1),0.309
Broccoli,0.391
Naibaicai,0.255
Xixia Mushroom (1),0.518
Xixia Mushroom (1),0.435
Niushou Youcai,0.71
Net Lotus Root (1),0.789
Xixia Mushroom (1),0.276
Red Pepper (1),0.157
Changxianqie,0.322
Luosi Pepper,0.894
Xixia Mushroom (1),0.778
Garden Chrysanthemum,0.354
Niushou Shengcai,0.168
Wuhu Green Pepper (1),0.415
Xixia Mushroom (1),0.243
Net Lotus Root (1),0.554
Spinach,0.554
Yunnan Shengcai,0.259
Spinach,0.722
Net Lotus Root (1),0.487
Yunnan Shengcai,0.259
Xixia Mushroom (1),0.151
Net Lotus Root (1),0.688
Spinach,0.252
Garden Chrysanthemum,0.303
Ping Mushroom,0.316
Changxianqie,0.294
Wuhu Green Pepper (1),0.314
Net Lotus Root (1),0.621
Xixia Mushroom (1),0.376
Wuhu Green Pepper (1),0.616
Xixia Mushroom (1),0.184
Ping Mushroom,0.259
Xixia Mushroom (1),0.293
Net Lotus Root (1),0.722
Xixia Mushroom (1),0.284
Haixian Mushroom (Bag) (4),1.0
Net Lotus Root (1),0.302
Yunnan Shengcai,0.991
Xiaoqingcai (1),0.282
Xixia Mushroom (1),0.418
Xixia Mushroom (1),0.318
Niushou Shengcai,0.654
Xixia Mushroom (1),0.552
Wuhu Green Pepper (1),0.352
Xixia Mushroom (1),0.477
Xixia Mushroom (1),0.334
Xixia Mushroom (1),0.485
Broccoli,0.67
Xixia Mushroom (1),0.326
Xixia Mushroom (1),0.694
Net Lotus Root (1),0.269
Yunnan Shengcai,0.575
Xixia Mushroom (1),0.234
Broccoli,0.569
Wuhu Green Pepper (1),0.276
Yunnan Shengcai,0.316
Net Lotus Root (1),1.024
Wuhu Green Pepper (1),0.163
Yunnan Shengcai,0.259
Xixia Mushroom (1),0.226
Wuhu Green Pepper (1),0.528
Haixian Mushroom (Bag) (4),1.0
Garden Chrysanthemum,0.227
Ping Mushroom,0.158
Eggplant (2),0.452
Xixia Mushroom (1),0.41
Zhijiang Red Bolt,0.808
Needle Mushroom (Bag) (2),1.0
Xixia Mushroom (1),0.343
Xixia Mushroom (1),0.36
Spinach,0.269
Xiaoqingcai (1),0.141
Xixia Mushroom (1),0.184
Zhijiang Red Bolt,0.606
Net Lotus Root (1),0.805
Net Lotus Root (1),0.52
Xixia Mushroom (1),0.41
Dongmenkou Xiaobaicai,0.253
Wuhu Green Pepper (1),0.188
Net Lotus Root (1),0.269
Needle Mushroom (Bag) (2),1.0
Ping Mushroom,0.517
Broccoli,0.435
Xixia Mushroom (1),0.368
Red Pepper (1),0.282
Wuhu Green Pepper (1),0.364
Xixia Mushroom (1),0.184
Xixia Mushroom (1),0.217
Water Chestnut,0.654
Zhijiang Red Bolt,0.48
Red Pepper (1),0.188
Zhijiang Red Bolt,0.505
Yunnan Shengcai,0.302
Green Line Pepper,0.279
Net Lotus Root (1),0.386
Garden Chrysanthemum,0.581
